Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","02/21/2019","0702","304NV","BLI","09:39","10:12","159","192","33","09:29","43","33","0","0","0","0"
"G4","02/21/2019","1360","260NV","CVG","08:41","09:00","311","331","19","08:51","9","0","0","19","0","0"
"G4","02/22/2019","0335","317NV","TUL","14:07","13:46","216","187","-21","13:39","7","0","0","0","0","0"
"G4","02/22/2019","0343","302NV","EUG","22:49","23:45","122","107","56","23:39","6","0","0","6","0","50"
"G4","02/22/2019","0345","302NV","PVU","17:07","18:21","118","102","74","18:15","6","20","0","0","0","54"
"G4","02/22/2019","0355","317NV","MEM","23:31","23:03","264","236","-28","22:56","7","0","0","0","0","0"
"G4","02/22/2019","1360","217NV","CVG","09:41","09:28","311","284","-13","09:23","5","0","0","0","0","0"
"G4","02/23/2019","0319","317NV","SGF","21:10","20:51","229","219","-19","20:44","7","0","0","0","0","0"
"G4","02/23/2019","0361","317NV","MTJ","12:45","12:38","126","119","-7","12:30","8","0","0","0","0","0"
"G4","02/24/2019","0303","317NV","OKC","13:00","13:08","184","187","8","13:01","7","0","0","0","0","0"
"G4","02/24/2019","0339","302NV","BOI","17:37","17:36","125","125","-1","17:28","8","0","0","0","0","0"
"G4","02/24/2019","0341","317NV","MFR","23:26","23:26","112","116","0","23:07","19","0","0","0","0","0"
"G4","02/24/2019","0702","304NV","BLI","09:39","09:45","159","171","6","09:24","21","0","0","0","0","0"
"G4","02/24/2019","1360","260NV","CVG","08:41","08:33","311","308","-8","08:26","7","0","0","0","0","0"
"G4","02/25/2019","0335","302NV","TUL","14:07","13:39","216","193","-28","13:32","7","0","0","0","0","0"
"G4","02/25/2019","0343","317NV","EUG","22:49","23:45","122","153","56","23:34","11","0","25","31","0","0"
"G4","02/25/2019","0345","317NV","PVU","17:07","16:50","118","97","-17","16:46","4","0","0","0","0","0"
"G4","02/25/2019","0355","302NV","MEM","23:31","23:15","264","248","-16","23:07","8","0","0","0","0","0"
"G4","02/25/2019","1360","260NV","CVG","09:41","09:25","311","300","-16","09:14","11","0","0","0","0","0"
"G4","02/27/2019","0319","302NV","SGF","21:35","21:47","227","235","12","21:35","12","0","0","0","0","0"
"G4","02/27/2019","0361","302NV","MTJ","12:39","12:30","127","126","-9","12:22","8","0","0","0","0","0"
"G4","02/28/2019","0303","317NV","OKC","13:00","17:38","184","209","278","17:24","14","210","0","25","0","43"
"G4","02/28/2019","0339","302NV","BOI","17:44","17:41","131","132","-3","17:32","9","0","0","0","0","0"
"G4","02/28/2019","0341","317NV","MFR","23:16","23:48","112","112","32","23:38","10","0","0","27","0","5"
"G4","02/28/2019","0702","337NV","BLI","09:44","09:53","164","178","9","09:42","11","0","0","0","0","0"
"G4","02/28/2019","1360","260NV","CVG","08:31","08:28","301","298","-3","08:18","10","0","0","0","0","0"
"G4","03/01/2019","0335","302NV","TUL","14:05","14:12","209","225","7","14:08","4","0","0","0","0","0"
"G4","03/01/2019","0343","317NV","EUG","22:54","23:06","127","141","12","22:41","25","0","0","0","0","0"
"G4","03/01/2019","0345","317NV","PVU","17:10","17:10","110","117","0","17:06","4","0","0","0","0","0"
"G4","03/01/2019","0355","302NV","MEM","23:19","00:03","258","278","44","23:49","14","0","0","44","0","0"
"G4","03/01/2019","1360","260NV","CVG","09:31","09:41","301","298","10","09:29","12","0","0","0","0","0"
"G4","03/02/2019","0319","302NV","SGF","21:04","21:03","227","236","-1","20:58","5","0","0","0","0","0"
"G4","03/02/2019","0361","302NV","MTJ","12:09","12:19","127","146","10","12:07","12","0","0","0","0","0"
"G4","03/03/2019","0303","302NV","OKC","13:00","13:33","184","217","33","13:26","7","0","0","33","0","0"
"G4","03/03/2019","0339","317NV","BOI","17:44","17:20","131","123","-24","17:12","8","0","0","0","0","0"
"G4","03/03/2019","0341","302NV","MFR","23:16","23:51","112","106","35","23:41","10","12","0","0","0","23"
"G4","03/03/2019","0702","337NV","BLI","09:44","09:48","164","168","4","09:39","9","0","0","0","0","0"
"G4","03/03/2019","1360","260NV","CVG","08:31","08:52","301","323","21","08:42","10","0","0","21","0","0"
"G4","03/04/2019","0335","302NV","TUL","14:05","14:50","209","219","45","14:46","4","0","0","45","0","0"
"G4","03/04/2019","0343","317NV","EUG","22:54","22:46","127","119","-8","22:38","8","0","0","0","0","0"
"G4","03/04/2019","0345","317NV","PVU","17:10","17:17","110","106","7","17:10","7","0","0","0","0","0"
"G4","03/04/2019","0355","302NV","MEM","23:19","00:04","258","271","45","23:55","9","0","0","13","0","32"
"G4","03/04/2019","1360","260NV","CVG","09:31","09:51","301","316","20","09:46","5","0","0","15","5","0"
"G4","03/06/2019","0319","302NV","SGF","21:35","21:18","227","219","-17","21:06","12","0","0","0","0","0"
"G4","03/06/2019","0361","302NV","MTJ","12:09","12:45","127","164","36","12:35","10","0","0","36","0","0"
"G4","03/07/2019","0303","317NV","OKC","13:00","13:19","184","198","19","13:09","10","5","0","14","0","0"
"G4","03/07/2019","0339","302NV","BOI","17:44","17:42","131","138","-2","17:30","12","0","0","0","0","0"
"G4","03/07/2019","0341","317NV","MFR","23:16","23:07","112","122","-9","22:48","19","0","0","0","0","0"
