Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","02/05/2019","0002","N361HA","HNL","23:05","00:25","320","302","80","00:15","10","80","0","0","0","0"
"HA","02/05/2019","0004","N390HA","HNL","06:30","06:42","310","303","12","06:33","9","0","0","0","0","0"
"HA","02/05/2019","0010","N391HA","HNL","15:20","15:14","320","302","-6","15:05","9","0","0","0","0","0"
"HA","02/05/2019","0034","N399HA","OGG","22:15","21:52","310","291","-23","21:45","7","0","0","0","0","0"
"HA","02/05/2019","0062","N214HA","KOA","23:40","23:30","320","311","-10","23:19","11","0","0","0","0","0"
"HA","02/05/2019","0064","N202HA","LIH","21:45","21:50","325","321","5","21:39","11","0","0","0","0","0"
"HA","02/06/2019","0002","N391HA","HNL","23:05","22:52","320","311","-13","22:33","19","0","0","0","0","0"
"HA","02/06/2019","0004","N384HA","HNL","06:30","06:29","310","295","-1","06:19","10","0","0","0","0","0"
"HA","02/06/2019","0010","N374HA","HNL","15:20","15:27","320","304","7","15:18","9","0","0","0","0","0"
"HA","02/06/2019","0034","N399HA","OGG","22:15","21:59","310","294","-16","21:45","14","0","0","0","0","0"
